categ_feature0,num_feature1,num_feature2,num_feature3,num_feature4,target
value1,0.3,15.8,0.3,2.2,class_0
value1,0.9,63.9,3.4,4.8,class_2
value9,0.4,34.6,0.4,7.8,class_1
value5,3.8,23.3,6.1,2.2,class_1
value6,0.1,20.6,0.0,1.3,class_0
value2,2.1,28.0,0.0,8.3,class_1
value2,18.4,26.2,9.0,65.4,class_3
value8,1.3,49.2,0.6,1.2,class_2
value2,4.4,31.7,5.8,20.1,class_2
value5,6.2,27.4,3.6,1.1,class_1
value9,23.2,33.8,0.3,5.7,class_2
value1,5.8,18.1,2.8,1.4,class_1
value2,4.1,12.6,1.0,4.1,class_0
value6,0.6,58.1,3.9,2.7,class_2
value7,0.5,26.2,5.5,5.8,class_1
value7,1.3,21.4,0.0,15.7,class_1
value6,0.5,55.2,0.6,5.7,class_2
value7,1.1,18.4,4.1,9.5,class_1
value4,0.7,22.3,1.4,1.2,class_0
value5,11.7,5.5,4.5,3.5,class_0
value4,11.3,36.8,3.7,1.6,class_2
value2,0.2,17.8,8.8,1.5,class_1
value9,0.4,3.6,4.2,274.1,class_3
value5,4.7,68.1,8.8,1.5,class_3
value5,0.1,7.4,2.3,1.9,class_0
value7,0.6,40.4,6.4,2.2,class_2
value1,0.0,30.9,2.2,1.1,class_1
value3,19.4,17.1,0.9,56.2,class_3
value7,12.2,17.0,2.9,37.7,class_2
value2,16.7,10.4,5.2,3.8,class_1
value9,0.1,84.3,3.3,2.0,class_3
value5,4.0,34.1,0.9,1.9,class_1
value2,0.2,19.4,0.1,61.7,class_3
value1,4.3,30.8,5.1,1.7,class_1
value3,0.2,20.9,1.0,1.7,class_0
value1,3.7,24.3,1.9,1.6,class_1
value7,0.0,23.4,0.1,3.0,class_1
value2,0.0,40.4,6.3,2.8,class_2
value3,1.9,44.1,1.0,9.1,class_2
value2,0.4,5.7,6.8,36.6,class_2
value2,0.3,4.6,2.1,6.0,class_0
value1,1.4,16.7,8.2,1.4,class_1
value3,3.5,12.1,4.0,69.0,class_3
value9,17.7,2.9,3.5,2.3,class_1
value6,10.1,29.9,3.7,27.8,class_2
value5,2.3,27.9,0.0,1.7,class_1
value8,0.0,2.4,2.4,1.9,class_0
value2,0.8,28.3,0.8,1.4,class_1
value4,5.8,40.3,6.9,2.6,class_2
value5,4.2,19.2,0.7,451.1,class_3
value5,2.7,10.2,0.2,3.5,class_0
value1,3.9,46.6,0.0,4.2,class_2
value1,0.2,3.2,5.0,5.5,class_0
value1,0.5,15.5,6.9,7.5,class_1
value3,1.7,22.5,0.9,1.6,class_0
value6,0.0,22.3,7.1,1.2,class_1
value1,1.7,28.9,0.9,2.3,class_1
value8,0.2,8.2,2.9,1.7,class_0
value1,4.5,12.0,3.5,1.3,class_0
value1,4.9,68.6,5.2,144.9,class_3
value4,4.1,1.4,0.5,21.5,class_1
value1,16.3,15.0,0.1,3.9,class_1
value2,0.2,35.5,0.2,13540.4,class_3
value4,2.7,9.5,0.1,2.1,class_0
value6,0.6,38.9,0.6,1.3,class_1
value6,3.6,29.1,6.0,27.1,class_2
value3,0.3,41.3,2.0,6.4,class_2
value5,4.3,22.7,6.6,19.7,class_2
value5,0.1,20.2,0.1,3.2,class_0
value6,3.9,21.1,7.1,7.1,class_1
value4,0.1,10.1,1.5,3.0,class_0
value2,0.2,30.5,0.7,16.0,class_2
value9,14.8,57.3,0.9,1.9,class_2
value8,0.0,23.4,3.0,2.3,class_1
value5,0.8,13.9,1.1,14.6,class_1
value2,5.5,42.7,3.4,1.2,class_2
value4,0.5,49.7,0.0,3.0,class_2
value8,0.0,6.8,2.3,2.3,class_0
value6,5.1,9.1,0.1,1.9,class_0
value6,9.4,17.3,4.1,13.6,class_1
value5,8.7,36.4,0.3,3.7,class_2
value4,1.2,36.6,0.7,1.7,class_1
value4,0.3,16.9,0.8,3.1,class_0
value8,14.5,24.4,4.2,1.2,class_1
value5,1.0,45.3,7.9,1.3,class_2
value5,0.1,48.3,3.7,12.3,class_2
value9,1.0,23.5,4.3,1.3,class_1
value5,0.3,26.2,1.2,1.8,class_1
value9,9.2,21.6,0.3,22.3,class_2
value4,4.5,23.6,1.7,2.6,class_1
value4,8.8,21.5,1.6,1.8,class_1
value1,6.7,21.4,3.7,241.8,class_3
value6,3.9,54.0,2.9,2.2,class_2
value5,1.0,26.5,0.0,7015360.6,class_3
value6,0.7,19.2,4.3,8.5,class_1
value6,2.9,27.9,0.9,3.8,class_1
value1,6.8,73.7,5.8,1.5,class_3
value1,8.4,43.1,6.1,2.5,class_2
value5,3.9,8.9,5.7,1.3,class_0
value2,0.0,46.7,7.4,15.6,class_2
value9,0.3,34.4,4.4,1.5,class_1
value4,0.3,3.9,0.1,2.6,class_0
value8,2.2,10.8,0.6,3.2,class_0
value5,4.6,31.5,2.8,3.0,class_1
value2,0.5,14.3,2.1,4.1,class_0
value6,12.7,15.3,3.6,1.2,class_1
value7,6.1,11.0,2.6,1.5,class_0
value6,11.1,17.5,0.3,1.5,class_1
value2,0.2,29.8,1.0,21.0,class_2
value1,0.0,35.6,1.2,1.2,class_1
value9,0.7,39.4,4.9,64.2,class_3
value1,6.0,4.8,2.2,11.4,class_0
value2,0.7,19.8,0.1,3.4,class_0
value9,0.7,58.8,7.9,1.6,class_2
value4,0.0,5.6,0.7,2.5,class_0
