categ_feature0,num_feature1,num_feature2,num_feature3,num_feature4,target
value5,-1.0,5.8,1.0,-0.5,0.605
value5,-1.0,4.3,0.0,-0.4,0.667
value5,-1.0,5.3,0.9,0.3,0.626
value5,-0.3,6.4,0.0,0.2,0.494
value5,1.0,5.6,0.0,1.0,0.638
value5,-1.0,6.1,0.9,-0.3,0.428
value5,1.0,7.9,0.2,0.2,0.598
value5,1.0,2.4,0.0,0.2,0.691
value3,1.0,6.8,0.6,-0.5,0.53
value5,1.0,6.8,0.8,0.1,0.551
value5,-0.9,4.0,0.2,0.2,0.556
value5,0.9,5.8,0.7,-0.5,0.39
value4,-1.0,3.5,0.0,-0.1,0.382
value5,0.6,4.7,0.5,-0.3,0.565
value5,-1.0,2.3,0.0,-0.4,0.501
value5,-1.0,6.1,0.0,-0.6,0.497
value5,-1.0,3.5,0.8,-0.0,0.575
value5,-0.4,5.1,0.3,1.0,0.334
value4,-1.0,5.2,0.6,0.4,0.561
value5,1.0,2.6,0.0,1.0,0.605
value5,0.8,2.5,0.9,-0.5,0.56
value5,-0.6,4.5,0.0,1.0,0.637
value5,-1.0,3.5,1.0,-0.0,0.607
value5,-1.0,5.5,0.1,-0.1,0.658
value5,0.8,4.9,0.0,-0.2,0.638
value5,1.0,6.0,0.0,0.6,0.572
value5,-0.8,5.2,0.7,0.8,0.826
value5,0.8,3.6,0.0,0.7,0.528
value5,0.9,6.1,0.0,-0.2,0.618
value5,0.9,5.9,1.0,-0.4,0.818
value5,1.0,5.3,0.1,-0.6,0.459
value5,1.0,5.1,0.1,-0.0,0.671
value5,-1.0,4.5,0.4,0.5,0.372
value5,-1.0,5.5,0.6,0.6,0.511
value5,1.0,4.2,0.1,0.6,0.494
value4,1.0,3.8,0.0,-0.5,0.601
value5,1.0,4.6,0.2,-0.5,0.655
value5,-1.0,4.8,0.5,0.3,0.415
value5,1.0,5.2,0.0,0.1,0.465
value5,0.3,4.7,0.0,0.8,0.614
value5,0.7,3.2,0.1,-0.5,0.644
value5,-0.0,5.8,0.0,-0.3,0.586
value5,0.8,2.5,0.0,-0.3,0.56
value5,0.7,3.0,0.9,-0.6,0.545
value5,-0.7,4.8,1.0,-0.6,0.525
value5,-0.9,3.5,0.6,-0.5,0.401
value5,1.0,2.7,0.0,0.5,0.637
value4,1.0,3.9,0.4,-0.6,0.722
value4,-1.0,4.8,1.0,0.4,0.46
value4,-1.0,6.8,0.0,-0.2,0.621
value3,-1.0,4.0,0.1,0.2,0.416
value5,-1.0,5.6,0.2,-0.2,0.55
value5,-1.0,3.5,0.0,-0.3,0.664
value5,-0.9,8.1,0.0,-0.4,0.643
value5,-1.0,5.0,0.0,-0.3,0.577
value5,0.9,3.1,0.4,-0.4,0.682
value1,-1.0,6.5,0.0,-0.3,0.476
value5,-1.0,4.8,0.0,1.0,0.626
value5,1.0,2.2,0.6,-0.4,0.486
value5,-1.0,3.8,0.8,-0.4,0.566
value2,1.0,1.4,0.0,0.6,0.311
value5,-1.0,6.9,1.0,-0.3,0.561
value5,-1.0,3.2,1.0,-0.5,0.483
value5,-1.0,2.6,0.0,1.0,0.471
value5,1.0,5.8,0.8,-0.1,0.695
value5,-1.0,4.4,0.2,-0.4,0.529
value2,-0.6,4.1,0.7,-0.5,0.0
value5,0.8,4.8,0.0,-0.4,0.555
value5,1.0,5.2,0.0,-0.2,0.557
value5,-1.0,4.6,0.0,0.6,0.646
value5,-1.0,3.1,0.0,-0.5,0.489
value5,0.7,4.0,0.1,-0.5,0.823
value4,0.1,7.2,0.4,-0.6,0.569
value4,-0.5,4.9,0.7,-0.6,0.556
value5,1.0,7.7,0.0,-0.3,0.548
value5,0.0,4.1,0.1,-0.6,0.759
value5,1.0,2.5,0.7,-0.3,0.582
value4,-1.0,5.3,0.0,-0.4,0.522
value4,1.0,5.1,0.1,-0.5,0.29
value5,-1.0,4.2,0.0,0.2,0.825
value5,1.0,7.0,0.0,-0.4,0.539
value1,-0.9,5.3,1.0,-0.0,0.495
value5,-1.0,5.5,0.0,0.4,0.509
value5,-1.0,4.8,0.0,-0.3,0.613
value5,-0.3,5.5,0.0,-0.6,0.738
value5,0.4,5.3,0.9,-0.5,0.674
value5,1.0,7.2,0.0,-0.5,0.497
value5,0.9,4.8,1.0,-0.5,0.78
value5,1.0,3.2,0.9,-0.4,0.682
value5,0.1,1.9,0.0,-0.2,0.615
value5,1.0,5.9,0.0,-0.6,0.527
value4,-1.0,8.3,0.0,-0.5,0.543
value5,0.3,3.5,0.0,-0.4,0.451
value5,-1.0,6.3,0.0,-0.6,0.449
value3,0.1,7.8,0.4,-0.6,0.705
value5,1.0,4.2,0.0,-0.7,0.599
value5,-1.0,6.5,0.0,-0.5,0.534
value5,-0.8,6.1,0.0,-0.2,0.73
value5,-0.5,6.7,0.9,-0.3,0.64
value1,1.0,5.7,0.8,-0.7,0.386
value5,1.0,6.9,0.0,-0.6,0.43
value4,0.7,4.9,0.1,-0.4,0.542
value5,-0.8,4.2,0.0,-0.4,0.543
value1,0.1,6.4,0.8,0.2,0.476
value5,-1.0,5.7,0.7,-0.1,0.729
value5,-0.9,7.1,0.1,0.2,0.474
value4,-1.0,6.1,0.5,-0.0,0.417
value5,0.8,3.8,0.5,-0.5,0.509
value4,0.1,9.4,0.0,-0.1,0.538
value5,-1.0,3.5,0.0,-0.7,0.456
value4,1.0,7.2,0.1,-0.6,0.569
value5,1.0,5.0,0.8,-0.4,0.553
value5,1.0,4.3,0.0,-0.2,0.45
value5,-1.0,4.4,0.0,-0.6,0.599
value5,-1.0,5.1,0.4,-0.2,0.383
value5,1.0,6.7,0.1,0.6,0.533
value5,1.0,5.6,0.0,-0.6,0.504
value5,1.0,2.9,0.0,-0.5,0.489
value4,0.9,7.9,0.7,-0.6,0.638
value4,1.0,3.6,0.1,0.9,0.705
value5,-1.0,4.8,0.4,-0.2,0.554
value5,-1.0,5.6,0.1,1.0,0.522
value5,-1.0,5.9,0.2,-0.6,0.565
value5,-1.0,6.0,0.0,0.1,0.638
value5,1.0,6.0,0.0,-0.3,0.489
value5,-0.6,4.6,1.0,-0.5,0.395
value5,-1.0,4.8,0.0,-0.7,0.493
value4,0.5,8.6,0.9,0.9,0.618
value5,1.0,6.2,0.7,0.3,0.693
value4,1.0,3.4,0.0,-0.5,0.505
value5,-1.0,7.5,0.0,-0.6,0.647
value5,-1.0,5.2,0.2,-0.0,0.596
value4,-0.5,8.2,0.1,1.0,0.523
value5,-1.0,6.1,0.7,0.4,0.741
value5,1.0,2.1,0.4,0.3,0.534
value5,0.9,5.1,0.0,0.2,0.644
value5,-1.0,5.9,0.7,-0.0,0.75
